Cookie_info,Domena,Opis,Kategoria,Typ pliku,Czas ważności
__aza_perm,Azalead Publisher,,Azalead Publisher,Targetujące/reklamowe pliki,1 rok
__Secure-3PAPISID,.google.com,"Używane do celów targetowania, aby zbudować profil zainteresowań odwiedzającego stronę internetową w celu pokazania odpowiedniej i spersonalizowanej reklamy Google.",Google,Targetujące/reklamowe pliki,1 rok 10 miesięcy 24 dni
__Secure-3PSID,.google.com,"Używane do celów targetowania, aby zbudować profil zainteresowań odwiedzającego stronę internetową w celu pokazania odpowiedniej i spersonalizowanej reklamy Google.",Google,Targetujące/reklamowe pliki,1 rok 11 miesięcy 27 dni
__Secure-APISID,.google.com,"Używane do celów targetowania, aby zbudować profil zainteresowań odwiedzającego stronę internetową w celu pokazania odpowiedniej i spersonalizowanej reklamy Google.",Google,Targetujące/reklamowe pliki,6 miesięcy 17 dni
__Secure-HSID,.google.com,"Używamy zabezpieczających plików cookies do uwierzytelniania użytkowników, zapobiegania nieuczciwemu wykorzystywaniu danych uwierzytelniających do logowania oraz ochrony danych użytkowników przed nieuprawnionymi osobami.",Google,Niezbędne pliki,6 miesięcy 17 dni
__Secure-SSID,.google.com,"Używamy zabezpieczających plików cookies do uwierzytelniania użytkowników, zapobiegania nieuczciwemu wykorzystywaniu danych uwierzytelniających do logowania oraz ochrony danych użytkowników przed nieuprawnionymi osobami.",Google,Niezbędne pliki,6 miesięcy 17 dni
__utma,.capgemini.com,"Używany do rozróżniania użytkowników i sesji. Plik cookie jest tworzony, gdy uruchamia się biblioteka javascript i nie ma żadnego istniejącego pliku __utma cookie. Plik cookie jest aktualizowany za każdym razem, gdy dane są wysyłane do Google Analytics.",Google Analytics,Statystyczne pliki,1 rok 11 miesięcy 24 dni
__utmv,.capgemini.com,"Służy do przechowywania niestandardowych danych zmiennych na poziomie użytkownika. Ten plik cookie jest tworzony, gdy deweloper używa metody _setCustomVar ze zmienną niestandardową na poziomie użytkownika. Ten plik cookie jest aktualizowany za każdym razem, gdy dane są wysyłane do Google Analytics.",Google Analytics,Statystyczne pliki,1 rok 11 miesięcy 24 dni
__utmz,.capgemini.com,"Przechowuje dane o źródle ruchu lub kampanii, które wyjaśniają, w jaki sposób użytkownik dotarł do witryny. Plik cookie jest tworzony podczas uruchamiania biblioteki javascript i jest aktualizowany za każdym razem, gdy dane są wysyłane do Google Analytics.",Google Analytics,Statystyczne pliki,5 miesięcy 24 dni
_fbp,.capgemini.com,"Używane przez Facebook do dostarczania serii produktów reklamowych, takich jak licytacje w czasie rzeczywistym od zewnętrznych reklamodawców.",facebook,Targetujące/reklamowe pliki,2 miesiące 30 dni
_fbp,Facebook,"Używane przez Facebook do dostarczania serii produktów reklamowych, takich jak licytacje w czasie rzeczywistym od zewnętrznych reklamodawców.
 ad vertisers.",Facebook,Targetujące/reklamowe pliki,3 miesięce
_ga,.capgemini.com,Używany do rozróżniania użytkowników.,Google Analytics,Statystyczne pliki,1 rok 11 miesięcy 30 dni
_ga,Google Analytics,"Rejestruje unikalny identyfikator, który jest używany do generowania danych statystycznych dotyczących sposobu korzystania z witryny przez odwiedzającego.",Google Analytics,Statystyczne pliki,2 lata
_gac_UA-105264421-1,.capgemini.com,"Zawiera informacje dla użytkownika związane z kampanią. Jeśli użytkownik połączył swoje konta Google Analytics i Google Ads, znaczniki konwersji stron internetowych Google Ads będą odczytywać ten plik cookie, chyba że użytkownik zrezygnuje z tej opcji.",Google Analytics,Targetujące/reklamowe pliki,2 miesiące 3 dni
_gac_UA-105331519-21,.capgemini.com,"Zawiera informacje dla użytkownika związane z kampanią. Jeśli użytkownik połączył swoje konta Google Analytics i Google Ads, znaczniki konwersji stron internetowych Google Ads będą odczytywać ten plik cookie, chyba że użytkownik zrezygnuje z tej opcji.",Google Analytics,Targetujące/reklamowe pliki,2 miesiące 3 dni
_gat,Google Analytics,Używany przez Google Analytics do zminiejszenia częstotliwości żądań,Google Analytics,Niezbędne pliki,1 dzień
_gat_UA-105264421-1,.capgemini.com,"Zawiera informacje dla użytkownika związane z kampanią. Jeśli użytkownik połączył swoje konta Google Analytics i Google Ads, znaczniki konwersji stron internetowych Google Ads będą odczytywać ten plik cookie, chyba że użytkownik zrezygnuje z tej opcji.",Google Analytics,Targetujące/reklamowe pliki,0 dni
_gat_UA-105331519-1,.capgemini.com,"Zawiera informacje dla użytkownika związane z kampanią. Jeśli użytkownik połączył swoje konta Google Analytics i Google Ads, znaczniki konwersji stron internetowych Google Ads będą odczytywać ten plik cookie, chyba że użytkownik zrezygnuje z tej opcji.",Google Analytics,Targetujące/reklamowe pliki,0 dni
_gcl_au,.capgemini.com,Używany przez Google AdSense do eksperymentowania z efektywnością reklamy na stronach internetowych korzystających z ich usług.,Google AdSense,Targetujące/reklamowe pliki,15 dni
_gcl_au,Google AdSense,"Używany przez Google AdSense do eksperymentowania z wydajnością reklam w witrynach internetowych korzystających z ich usług. Jest to pierwszy plik cookie dla funkcji ""Conversion Linker"" - pobiera informacje w kliknięciach reklamowych i przechowuje je w pliku cookie pierwszej strony, aby konwersje mogły być przypisane poza stroną docelową.",Google AdSense,Targetujące/reklamowe pliki,3 miesiące
_gcl_aw,.capgemini.com,Używany przez Google AdSense do eksperymentowania z efektywnością reklamy na stronach internetowych korzystających z ich usług.,Google AdSense,Targetujące/reklamowe pliki,2 miesiące 3 dni
_gid,.capgemini.com,Używany do rozróżniania użytkowników.,Google Analytics,Statystyczne pliki,1 dzień
_gid,Google Analytics,"Rejestruje unikalny identyfikator, który jest używany do generowania danych statystycznych na temat sposobu korzystania z witryny przez odwiedzającego.",Google Analytics,Statystyczne pliki,1 dzień
_hjid,.capgemini.com,"Hotjar cookie. Ten plik cookie jest ustawiany, gdy klient po raz pierwszy ląduje na stronie ze skryptem Hotjar. Jest on używany do utrzymywania losowego identyfikatora użytkownika, unikalnego dla danej strony w przeglądarce. Zapewnia to, że zachowanie podczas kolejnych wizyt na tej samej stronie będzie przypisane do tego samego identyfikatora użytkownika.",Hotjar,Statystyczne pliki,9 miesięcy 7 dni
_hjid,Hotjar cookie,Ustawia unikalny identyfikator sesji. Pozwala to na uzyskanie danych o zachowaniach odwiedzających dla celów statystycznych.,Hotjar cookie,Statystyczne pliki,1 rok
_hjTLDTest,Hotjar cookie,Ustawia unikalny identyfikator sesji. Pozwala to na uzyskanie danych o zachowaniach odwiedzających dla celów statystycznych.,hotjar,Statystyczne pliki,Sesja
_pk_id#,MATOMO/Azalead,"Gromadzi statystyki dotyczące wizyt użytkownika na stronie internetowej, takie jak liczba odwiedzin, średni czas spędzony na stronie oraz jakie strony zostały przeczytane.",MATOMO/Azalead,Statystyczne pliki,1 rok
_pk_ses#,MATOMO/Azalead,Używany przez Platformę Analityczną Piwik do śledzenia żądań strony od użytkownika podczas sesji.,MATOMO/Azalead,Statystyczne pliki,1 dzień
1P_JAR,.gstatic.com,"Te pliki cookie są używane przez Google do wyświetlania spersonalizowanych reklam w witrynach Google, w oparciu o ostatnie wyszukiwania i poprzednie interakcje.",Google,Targetujące/reklamowe pliki,9 dni
act,.facebook.com,Jest to plik cookie Facebooka używany do ich analizy i badań.,facebook,Targetujące/reklamowe pliki,Sesja
ads/ga-audiences,Google Adword,"Używane przez Google AdWords do ponownego angażowania odwiedzających, którzy mogą przekształcić się w klientów na podstawie zachowania na stronie.",Google Adword,Targetujące/reklamowe pliki,Sesja
ads_prefs,.twitter.com,"Te pliki cookies umożliwiają śledzenie aktywności odwiedzających z naszych reklam na Twitterze na naszej stronie internetowej, a także umożliwiają użytkownikom dzielenie się treściami z naszych stron internetowych. Pliki cookies nie dostarczają nam żadnych poufnych informacji związanych z kontem użytkownika.",twitter,Targetujące/reklamowe pliki,4 lata 10 miesięcy 22 dni
ANID,.google.com,"Plik cookie ""ANID"" jest używany do reklam obsługiwanych w sieci i przechowywanych w google.com.",Google,Targetujące/reklamowe pliki,1 rok 9 miesięcy 16 dni
APISID,.google.com,"Plik cookie ""APISID"" jest używany do odtwarzania filmów YouTube osadzonych na stronie internetowej.",Google,Funkcjonalne pliki,1 rok 9 miesięcy 27 dni
bcookie,.linkedin.com,Jest to ciasteczko Microsoft MSN służące do udostępniania zawartości strony internetowej za pośrednictwem mediów społecznościowych.,microsoft,Funkcjonalne pliki,1 rok 11 miesięcy 4 dni
bcookie,Linkedin,Plik używany przez serwis społecznościowy LinkedIn do śledzenia korzystania z usług wbudowanych.,Linkedin,Targetujące/reklamowe pliki,2 lata
bscookie,Linkedin,Plik używany przez serwis społecznościowy LinkedIn do śledzenia korzystania z usług wbudowanych.,Linkedin,Targetujące/reklamowe pliki,2 lata
c_user,.facebook.com,Plik cookie c_user zawiera identyfikator aktualnie zalogowanego użytkownika.,facebook,Funkcjonalne pliki,2 miesiące 30 dni
CONSENT,.google.com,"Ten plik cookie zawiera informacje na temat sposobu, w jaki użytkownik końcowy korzysta z tej strony internetowej, oraz wszelkie reklamy, które użytkownik końcowy mógł zobaczyć przed wejściem na tę stronę.",Google,Targetujące/reklamowe pliki,17 lat 11 miesięcy 26 dni
cookie_info,www.capgemini.com,Skrypt cookie info to lekki skrypt javascript do ostrzegania użytkowników o używaniu plików cookies na stronie internetowej.,cookieinfo,Niezbędne pliki,9 lat 10 miesięcy 25 dni
csrf_same_site,.twitter.com,"Są to pliki cookies Twittera, które są używane na stronach internetowych z kanałami Twittera lub funkcji udostępniania Twittera. Więcej informacji można znaleźć na stronie https://help.twitter.com/en/rules-and-policies/twitter-cookies.",twitter,Funkcjonalne pliki,10 miesięcy 23 dni
csrf_same_site_set,.twitter.com,"Są to pliki cookies Twittera, które są używane na stronach internetowych z kanałami Twittera lub funkcji udostępniania Twittera. Więcej informacji można znaleźć na stronie https://help.twitter.com/en/rules-and-policies/twitter-cookies.",twitter,Funkcjonalne pliki,10 miesięcy 22 dni
datr,.facebook.com,Celem pliku datr jest identyfikacja przeglądarki internetowej używanej do łączenia się z Facebookiem niezależnie od zalogowanego użytkownika. Ten plik cookie odgrywa kluczową rolę w funkcjach bezpieczeństwa i integralności serwisu Facebook.,facebook,Funkcjonalne pliki,1 rok 10 miesięcy 19 dni
dpr,.facebook.com,Ten plik cookie jest używany przez Facebook do celów wydajności.,facebook,Statystyczne pliki,7 dni
fr,.facebook.com,Plik cookie jest używany przez Facebook.,facebook,Targetujące/reklamowe pliki,2 miesiące 30 dni
gtm_auth,www.googletagmanager.com,Te pliki cookies gromadzą dane analityczne dotyczące korzystania z witryny.,gtm,Statystyczne pliki,Sesja
gtm_debug,www.googletagmanager.com,Te pliki cookies gromadzą dane analityczne dotyczące korzystania z witryny.,gtm,Statystyczne pliki,Sesja
gtm_preview,www.googletagmanager.com,Te pliki cookies gromadzą dane analityczne dotyczące korzystania z witryny.,gtm,Statystyczne pliki,Sesja
guest_id,.twitter.com,Ten plik cookie jest ustawiany przez Twittera w celu identyfikacji i śledzenia osoby odwiedzającej stronę.,twitter,Targetujące/reklamowe pliki,1 rok 10 miesięcy 23 dni
HSID,.google.com,Ten plik umożliwia Google zbieranie informacji o użytkownikach korzystających z filmów umieszczonych w serwisie YouTube.,Google,Targetujące/reklamowe pliki,1 rok 9 miesięcy 27 dni
i/adsct,Twitter,Plik cookie jest wykorzystywany przez Twitter.com w celu określenia liczby osób odwiedzających stronę internetową za pośrednictwem treści reklamowych Twittera.,Twitter,Targetujące/reklamowe pliki,
IDE,Doubleclick,Plik używany przez Google DoubleClick do rejestracji i raportowania działań użytkownika strony internetowej po obejrzeniu lub kliknięciu jednej z reklam reklamodawcy w celu pomiaru skuteczności reklamy i zaprezentowania docelowych reklam użytkownikowi.,Doubleclick,Targetujące/reklamowe pliki,1 rok
JSESSIONID,.nr-data.net,Plik służy do obsługi anonimowej sesji użytkownika przez serwer. Plik zostaje usunięty po zakończeniu sesji użytkownika.,Google,Niezbędne pliki,Sesja
JSESSIONID,,Plik służy do obsługi anonimowej sesji użytkownika przez serwer. Plik zostaje usunięty po zakończeniu sesji użytkownika.,NA,Niezbędne pliki,Sesja
kdt,.twitter.com,"Ten plik cookie jest zazwyczaj dostarczany przez Twittera w celu monitorowania linków polecających i statusu logowania. Są one zazwyczaj obecne, gdy na stronie znajduje się przycisk ""Tweetuj to"" lub inny widżet na Twitterze.",twitter,Funkcjonalne pliki,1 rok 5 miesięcy 25 dni
lang,.ads.linkedin.com,Ten plik ustawia domyślną lokalizację lub język.,Linkedin,Funkcjonalne pliki,Sesja
li_sugr,.linkedin.com,Identyfikator przeglądarki internetowej.,Linkedin,Funkcjonalne pliki,2 miesiące 30 dni
lidc,.linkedin.com,Służy do wyznaczania ścieżki.,Linkedin,Funkcjonalne pliki,0 dni
lpv95412,Pardot,"Ten plik cookie LPV jest ustawiony tak, aby uniemożliwić Pardotowi śledzenie wielu odsłon strony na pojedynczym atucie w ciągu 30-minutowej sesji. Na przykład, jeśli odwiedzający przeładuje stronę docelową kilka razy w ciągu 30 minut, ten plik cookie zapobiega śledzeniu każdego przeładowania jako odsłony strony.",Pardot,Niezbędne pliki,1 dzień
NID,.googletagmanager.com,"Te pliki cookies są używane przez Google do wyświetlania spersonalizowanych reklam w witrynach Google, w oparciu o ostatnie wyszukiwania i poprzednie interakcje.",Google,Targetujące/reklamowe pliki,6 miesięcy 1 dzień
OGPC,.google.com,Ten plik cookie umożliwia korzystanie z funkcji Google Maps.,Google,Funkcjonalne pliki,19 dni
pardot,Pardot,"Plik cookie o nazwie pardot jest ustawiany w przeglądarce użytkownika, gdy jest on zalogowany do Pardot jako użytkownik lub gdy użytkownik uzyskuje dostęp do formularza, strony docelowej lub strony z kodem śledzenia Pardot. Plik cookie oznacza aktywną sesję i nie jest używany do śledzenia.",Pardot,Niezbędne pliki,Sesja
personalization_id,.twitter.com,Ten plik cookie jest ustawiany dzięki integracji z Twitterem i możliwościom udostępniania w mediach społecznościowych.,twitter,Targetujące/reklamowe pliki,1 rok 9 miesięcy 16 dni
piwik.php,MATOMO/Azalead,"Gromadzi statystyki dotyczące wizyt użytkownika na stronie internetowej, takie jak liczba wizyt, średni czas spędzony na stronie oraz to, jakie strony zostały przeczytane.",MATOMO/Azalead,Targetujące/reklamowe pliki,Sesja
presence,.facebook.com,Ten plik cookie służy do zapisywania stanu czatu użytkownika.,facebook,Funkcjonalne pliki,Sesja
r/collect,Note Sure,Ten plik cookie jest używany do wysyłania danych do Google Analytics dotyczących urządzenia i zachowania użytkownika. Śledzi on użytkownika poprzez urządzenia i kanały marketingowe.,Note Sure,Targetujące/reklamowe pliki,Sesja
remember_checked_on,.twitter.com,"Ten plik cookie jest zazwyczaj dostarczany przez Twittera w celu monitorowania linków polecających i statusu logowania. Są one zazwyczaj obecne, gdy na stronie znajduje się przycisk ""Tweetuj to"" lub inny widżet na Twitterze.",twitter,Funkcjonalne pliki,4 lata 11 miesięcy 24 dni
rweb_optin,.twitter.com,Ten plik jest używany przez Twitter.,twitter,Targetujące/reklamowe pliki,10 miesięcy 23 dni
rxVisitor,.capgemini.com,Plik używany przez Dynatrace do śledzenia <visitorID>,Dynatrace,Funkcjonalne pliki,1 rok 9 miesięcy 28 dni
SAPISID,.google.com,Plik cookie umożliwiający Google zbieranie informacji o użytkownikach dla filmów umieszczonych w serwisie YouTube.,Google,Targetujące/reklamowe pliki,1 rok 9 miesięcy 27 dni
sb,.facebook.com,Plik cookie używany przez Facebook.,facebook,Targetujące/reklamowe pliki,1 rok 10 miesięcy 19 dni
sc_anonymous_id,.soundcloud.com,"Te pliki cookies są zazwyczaj wykorzystywane do celów analizy i pomagają policzyć, ile osób odwiedza daną stronę, śledząc, czy użytkownik odwiedził już wcześniej daną stronę.",soundcloud,Statystyczne pliki,9 lat 10 miesięcy 15 dni
SEARCH_SAMESITE,.google.com,"Ten plik pozwala serwerom na ograniczenie ryzyka ataków CSRF i wycieku informacji poprzez stwierdzenie, że konkretny plik cookie powinien być wysyłany tylko z żądaniami zainicjowanymi z tej samej domeny podlegającej rejestracji.",Google,Niezbędne pliki,5 miesięcy 2 dni
SID,.google.com,"These cookies are used by Google to display personalized advertisements on Google sites, based on recent searches and previous interactions.",Google,Targetujące/reklamowe pliki,1 rok 11 miesięcy 27 dni
SIDCC,.google.com,"Ten plik cookie zawiera informacje na temat sposobu, w jaki użytkownik końcowy korzysta z tej strony internetowej, oraz wszelkie reklamy, które użytkownik końcowy mógł zobaczyć przed wejściem na tę stronę.",Google,Targetujące/reklamowe pliki,2 miesiące 30 dni
spin,.facebook.com,Plik cookie używany przez Facebook.,facebook,Targetujące/reklamowe pliki,1 dzień
SSID,.google.com,Ten plik umożliwia Google zbieranie informacji o użytkownikach dla filmów umieszczonych w serwisie YouTube.,Google,Targetujące/reklamowe pliki,1 rok 9 miesięcy 27 dni
test_cookie,Doubleclick,Służy do sprawdzania czy przeglądarka użytkownika obsługuje pliki cookies.,Doubleclick,Targetujące/reklamowe pliki,1 dzień
tfw_exp,.twitter.com,Twitter Tracking Technologies w celu umożliwienia osadzania treści.,twitter,Funkcjonalne pliki,8 dni
tr,Facebook,"Pliki używane przez Facebook do dostarczania serii produktów reklamowych, takich jak licytacje w czasie rzeczywistym od zewnętrznych reklamodawców.",Facebook,Targetujące/reklamowe pliki,Sesja
twid,.twitter.com,Zestaw plików cookies do integracji z Twitterem i udostępniania w mediach społecznościowych.,twitter,Funkcjonalne pliki,4 lata 11 miesięcy 24 dni
UserMatchHistory,.linkedin.com,"Ten plik cookie służy do śledzenia odwiedzających, dzięki czemu można zaprezentować bardziej odpowiednie reklamy w oparciu o ich preferencje.",Linkedin,Targetujące/reklamowe pliki,29 dni
UserMatchHistory,Linkedin,"Plik służący do śledzenia odwiedzających na wielu stronach internetowych, w celu przedstawienia odpowiedniej reklamy w oparciu o preferencje odwiedzającego.",Linkedin,Targetujące/reklamowe pliki,29 dni
utm_campaign,www.capgemini.com,Plik przechowujący ostatni parametr zapytania utm_campaign.,Google Analytics,Statystyczne pliki,Sesja
utm_content,www.capgemini.com,Plik używany przez Google Analytics.,Google Analytics,Statystyczne pliki,Sesja
utm_medium,www.capgemini.com,Plik używany przez Google Analytics.,Google Analytics,Statystyczne pliki,Sesja
utm_source,www.capgemini.com,Plik używany przez Google Analytics.,Google Analytics,Statystyczne pliki,Sesja
utm_term,www.capgemini.com,Plik używany przez Google Analytics.,Google Analytics,Statystyczne pliki,Sesja
visitor_id#,Pardot,"Ten plik cookie jest zabezpieczeniem, które ma na celu upewnienie się, że złośliwe oprogramowanie nie może podszyć się pod użytkownika z Pardot i uzyskać dostępu do informacji.",Pardot,Niezbędne pliki,10 lat
visitor_id#-hash,Pardot,"Ten plik cookie jest zabezpieczeniem, które ma na celu upewnienie się, że złośliwe oprogramowanie nie może podszyć się pod użytkownika z Pardot i uzyskać dostępu do informacji.",Pardot,Niezbędne pliki,10 lat
wd,.facebook.com,Ten plik cookie przechowuje wymiary okna przeglądarki i jest wykorzystywany przez Facebook do optymalizacji renderingu strony.,facebook,Funkcjonalne pliki,7 dni
xs,.facebook.com,"Ten plik cookie zawiera wiele informacji, oddzielonych dwukropkiem.",facebook,Funkcjonalne pliki,2 miesiące 30 dni